X1331 v0.22 Nonce Geometry / Regime Attribution
================================================
Input       : data/bitcoin-history-v020-frozen.csv
Output      : data/v022-nonce-geometry-1k.csv
Range       : 700000 .. 899999
Window      : 1000 blocks

DATASET VALIDATION
------------------
Rows        : 200000
First       : 700000
Last        : 899999
Consecutive : YES
Verified    : ALL

1K REGIME MAP
-------------
window              b9%     b8%     b7%     b6%     b5%      L9 H    Δb7(pp)
821000..821999  41.80%  45.40%  30.00%  48.70%  44.10%   2.86183     +1.90
822000..822999  44.30%  42.00%  29.20%  45.70%  47.80%   2.85514     -0.80
823000..823999  41.30%  43.70%  31.10%  49.00%  45.10%   2.86994     +1.90
824000..824999  43.70%  41.20%  26.50%  45.20%  49.00%   2.81435     -4.60
825000..825999  43.10%  42.60%  27.90%  47.40%  46.90%   2.83632     +1.40
826000..826999  42.40%  43.50%  28.20%  44.60%  44.60%   2.82219     +0.30
827000..827999  42.40%  44.00%  27.30%  46.70%  46.00%   2.80997     -0.90
828000..828999  45.40%  41.40%  27.40%  47.20%  46.00%   2.81389     +0.10
829000..829999  41.50%  42.50%  28.40%  49.10%  47.10%   2.84188     +1.00
830000..830999  44.40%  39.90%  29.10%  46.80%  46.40%   2.84271     +0.70
831000..831999  42.70%  45.10%  28.60%  44.60%  44.00%   2.82684     -0.50
832000..832999  46.00%  43.80%  30.80%  46.40%  46.60%   2.85470     +2.20
833000..833999  45.60%  42.00%  30.00%  48.20%  48.30%   2.86179     -0.80
834000..834999  42.70%  42.70%  30.40%  46.30%  48.40%   2.86838     +0.40
835000..835999  42.80%  42.80%  27.30%  48.10%  47.70%   2.82152     -3.10
836000..836999  45.40%  41.90%  31.20%  46.30%  43.40%   2.86017     +3.90
837000..837999  42.90%  45.90%  29.00%  44.80%  48.80%   2.84445     -2.20
838000..838999  43.60%  42.40%  27.00%  47.00%  45.70%   2.81391     -2.00
839000..839999  44.90%  41.30%  28.60%  47.40%  47.20%   2.83096     +1.60
840000..840999  41.20%  45.00%  29.00%  48.00%  47.10%   2.83600     +0.40
841000..841999  44.10%  43.30%  26.30%  47.00%  48.70%   2.81020     -2.70
842000..842999  42.10%  47.10%  29.10%  45.80%  48.80%   2.84194     +2.80
843000..843999  43.10%  42.40%  29.40%  45.60%  46.10%   2.83308     +0.30
844000..844999  40.00%  43.30%  28.10%  47.40%  46.70%   2.84112     -1.30
845000..845999  43.20%  44.10%  28.30%  43.20%  48.30%   2.81270     +0.20
846000..846999  43.60%  42.70%  32.00%  42.20%  45.30%   2.85037     +3.70
847000..847999  46.90%  40.70%  27.60%  45.00%  46.20%   2.82127     -4.40
848000..848999  41.30%  41.00%  28.40%  45.80%  44.80%   2.81205     +0.80
849000..849999  43.30%  43.80%  28.40%  42.80%  45.10%   2.81133     +0.00
850000..850999  42.10%  45.30%  28.50%  45.10%  46.80%   2.81711     +0.10
851000..851999  41.60%  45.20%  26.50%  45.10%  45.60%   2.80079     -2.00
852000..852999  44.90%  44.70%  30.60%  45.10%  45.10%   2.84572     +4.10
853000..853999  42.60%  44.30%  26.90%  46.70%  47.70%   2.82395     -3.70
854000..854999  43.00%  42.40%  30.30%  44.20%  46.60%   2.84049     +3.40
855000..855999  40.10%  41.90%  31.30%  42.70%  45.30%   2.84057     +1.00
856000..856999  41.40%  44.60%  28.40%  46.00%  48.00%   2.83776     -2.90
857000..857999  43.80%  44.30%  29.30%  44.30%  45.40%   2.82883     +0.90
858000..858999  43.90%  45.90%  32.80%  47.00%  45.20%   2.87620     +3.50
859000..859999  40.60%  43.70%  30.10%  48.30%  47.80%   2.86132     -2.70
860000..860999  44.80%  45.70%  29.20%  48.50%  44.90%   2.82175     -0.90
861000..861999  43.40%  45.20%  31.10%  43.40%  47.50%   2.85420     +1.90
862000..862999  44.70%  44.50%  34.10%  47.00%  46.50%   2.88893     +3.00
863000..863999  45.60%  44.20%  31.20%  45.90%  46.20%   2.86198     -2.90
864000..864999  44.40%  45.00%  31.50%  42.00%  46.10%   2.85725     +0.30
865000..865999  44.70%  43.50%  33.00%  46.60%  46.70%   2.87779     +1.50
866000..866999  44.40%  48.00%  32.10%  46.50%  44.50%   2.87551     -0.90
867000..867999  41.40%  42.80%  32.20%  44.70%  45.60%   2.85395     +0.10
868000..868999  43.50%  45.50%  29.40%  45.90%  48.40%   2.84895     -2.80
869000..869999  43.80%  41.50%  34.90%  49.70%  46.80%   2.90004     +5.50
870000..870999  40.70%  46.40%  31.30%  45.80%  47.10%   2.85573     -3.60
871000..871999  43.50%  44.70%  31.80%  46.40%  45.80%   2.88334     +0.50
872000..872999  43.70%  45.30%  32.40%  44.80%  47.10%   2.87587     +0.60
873000..873999  45.30%  44.90%  32.90%  46.00%  45.30%   2.87958     +0.50
874000..874999  44.90%  44.30%  31.90%  42.90%  48.10%   2.85898     -1.00
875000..875999  41.30%  43.00%  32.70%  46.70%  49.90%   2.88199     +0.80
876000..876999  46.90%  43.30%  33.20%  44.10%  46.30%   2.87903     +0.50
877000..877999  44.10%  46.70%  32.90%  47.00%  47.40%   2.88583     -0.30
878000..878999  44.10%  45.20%  32.40%  46.40%  43.40%   2.87841     -0.50
879000..879999  46.80%  45.20%  34.20%  47.20%  47.40%   2.89274     +1.80
880000..880999  43.20%  43.90%  33.80%  44.50%  45.20%   2.89634     -0.40
881000..881999  42.90%  46.00%  33.80%  46.80%  45.40%   2.89475     +0.00
882000..882999  44.60%  44.50%  33.00%  46.10%  45.80%   2.87472     -0.80
883000..883999  47.10%  45.40%  31.10%  44.70%  46.20%   2.87886     -1.90
884000..884999  46.50%  46.00%  30.40%  45.70%  46.90%   2.86164     -0.70
885000..885999  45.10%  43.90%  34.60%  45.90%  45.20%   2.89284     +4.20
886000..886999  45.90%  44.30%  36.80%  46.90%  43.80%   2.90523     +2.20
887000..887999  43.70%  46.00%  30.20%  48.50%  46.50%   2.86240     -6.60
888000..888999  43.00%  44.80%  32.40%  47.50%  49.10%   2.88689     +2.20
889000..889999  41.20%  43.60%  33.60%  46.60%  44.10%   2.87571     +1.20
890000..890999  46.10%  45.40%  34.10%  49.10%  45.00%   2.90333     +0.50
891000..891999  45.00%  44.80%  31.20%  43.10%  45.20%   2.86227     -2.90
892000..892999  47.00%  46.10%  34.20%  47.80%  45.00%   2.90406     +3.00
893000..893999  44.90%  47.60%  37.10%  44.80%  47.30%   2.93045     +2.90
894000..894999  44.80%  43.60%  34.10%  44.60%  46.10%   2.89893     -3.00
895000..895999  47.30%  47.90%  33.90%  48.50%  49.50%   2.91013     -0.20
896000..896999  48.40%  45.70%  35.10%  45.90%  48.90%   2.91861     +1.20
897000..897999  44.70%  48.10%  34.80%  48.70%  43.30%   2.89619     -0.30
898000..898999  45.40%  45.80%  34.50%  43.50%  45.40%   2.89024     -0.30
899000..899999  46.00%  45.70%  38.00%  46.30%  46.10%   2.93128     +3.50

GLOBAL GEOMETRY
---------------
bit  9:   90070 / 200000 =  45.03500%
bit  8:   89358 / 200000 =  44.67900%
bit  7:   58347 / 200000 =  29.17350%
bit  6:   92999 / 200000 =  46.49950%
bit  5:   94329 / 200000 =  47.16450%

L9 GLOBAL
---------
000:   35440   17.72000%
001:   36120   18.06000%
010:   35236   17.61800%
011:   34857   17.42850%
100:   21207   10.60350%
101:   14234    7.11700%
110:   13788    6.89400%
111:    9118    4.55900%
Entropy : 2.852638677 / 3.000000000
Chi²    : 37712.984720000

BIT7 TEMPORAL EXTREMES
----------------------
Minimum 1k window : 767000..767999 = 20.3000%
Maximum 1k window : 700000..700999 = 39.7000%
Largest 1k rise   : starts 869000 = +5.5000 pp vs previous window
Largest 1k fall   : starts 887000 = -6.6000 pp vs previous window

V0.19 / V0.21 CONSISTENCY
-------------------------
890000..899999 bit7 ones: 3470 / 10000 = 34.7000%
Expected                  : 3470 / 10000 = 34.7000%
Integrity                 : PASS

V0.22 COMPLETE
==============
Windows             : 200 × 1,000 blocks
Primary geometry    : bits 9,8,7,6,5 + L9
Adaptive selection  : NONE
ML training         : NONE
SHA predictability  : NOT CLAIMED
CSV                  : data/v022-nonce-geometry-1k.csv
