LIVE-11Q-B — X1331 SIGNAL OBSERVER
Classical quantum-inspired runtime
No SHA execution
No future digest knowledge
PASS / TRY signal laboratory

============================================================
STIMULUS 000  bits=[0, 0, 0]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
  3968   2.7724   0.0759   0.0373   0.2721   0.5730   0.0050 -0.0136    8      0

action          = PASS
reason          = no stable signal transition
round_budget    = 4096

============================================================
STIMULUS 011  bits=[0, 1, 1]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
     0   1.9987   0.3338   0.0249   0.9989   0.0116   0.0523 +0.0523    4      0
     1   1.0233   0.6589   0.0246   0.9928   0.1442   0.0953 +0.0430    4      0
     2   0.1133   0.9622   0.9775   0.9862   0.1723   0.8595 +0.7642    1      0
     3   1.1075   0.6308   0.0000   0.9102   0.0758   0.0000 -0.8595    4      0
     4   2.0795   0.3068   0.0148   0.6955   0.2446   0.0270 +0.0270    4      0
     5   2.9914   0.0029   0.0007   0.5305   0.2544   0.0000 -0.0270    8      0
     6   2.3839   0.2054   0.0126   0.4125   0.4000   0.0115 +0.0114    4      0
     7   2.7924   0.0692   0.1013   0.4419   0.1862   0.0132 +0.0017    8      0
     8   2.7769   0.0744   0.0130   0.4555   0.3797   0.0045 -0.0087    8      0
     9   2.6377   0.1208   0.1557   0.7543   0.3351   0.0338 +0.0292    4      0
    10   2.6374   0.1209   0.0433   0.9356   0.3459   0.0197 -0.0141    4      0
    11   2.4346   0.1885   0.1078   0.6857   0.4583   0.0377 +0.0180    4      0
    12   2.0311   0.3230   0.0826   0.2839   0.4538   0.0366 -0.0012    4      0
    13   2.0263   0.3246   0.1335   0.7580   0.4770   0.0747 +0.0381    4      0
    14   2.4264   0.1912   0.0416   0.4066   0.2327   0.0218 -0.0529    4      0
    15   2.8269   0.0577   0.0568   0.3796   0.3338   0.0069 -0.0149    8      0
    16   2.6802   0.1066   0.1337   0.7200   0.3973   0.0257 +0.0188    8      0
    17   2.3476   0.2175   0.1159   0.5575   0.3061   0.0461 +0.0204    4      0
    18   2.7688   0.0771   0.0149   0.2148   0.5881   0.0028 -0.0433    8      0
    19   2.8785   0.0405   0.0168   0.6264   0.5909   0.0027 -0.0001    8      0
